Anon_ID,gender,citizenship region,DEI Alum,DEI Scholarship,DEI Speaker,DEI Organizing Committee,DEI Sponsor,DEI Staff,DEI Scholarship Cost,DEI Speaker Category
118,female,Africa,1,0,0,1,0,0,$0.00,
119,female,Northern America,1,0,1,1,0,0,$0.00,"Panel Moderator, Workshop Leader"
120,male,Northern America,1,0,1,1,0,0,$0.00,Workshop Leader
121,male,Europe,1,0,1,0,0,0,$0.00,Workshop Leader
122,non-binary,Europe,1,1,0,0,0,0,$300.00,
123,male,Europe,1,1,1,0,0,0,"$1,495.26",Panelist
124,male,Europe,1,0,1,0,0,0,$0.00,Workshop Leader
125,male,Europe,1,1,0,0,0,0,$300.00,
126,male,Northern America,1,0,0,0,0,0,$0.00,
127,male,Asia,1,1,1,0,0,0,"$2,296.82",Panelist
128,male,Northern America,1,0,1,0,0,0,$0.00,"Project Presenter, Workshop Leader"
129,female,Latin America and the Caribbean,1,1,1,0,0,0,"$1,669.86","Panel Moderator, Workshop Leader"
130,female,Northern America,1,1,1,0,0,0,$300.00,Panelist
131,male,Latin America and the Caribbean,1,1,0,0,0,0,"$1,090.45",
132,female,Northern America,1,0,1,0,0,0,$0.00,Workshop Leader
133,male,Asia,1,1,1,0,0,0,"$2,037.15",Workshop Leader
134,male,Northern America,1,1,1,0,0,0,$650.00,Panelist
135,male,Northern America,1,1,0,0,0,0,$300.00,
136,male,Africa,1,1,1,0,0,0,"$2,191.91","Panelist, Workshop Leader"
137,male,Northern America,1,0,1,0,0,0,$0.00,Workshop Leader
138,female,Northern America,1,0,1,0,0,0,$0.00,Panelist
139,male,Latin America and the Caribbean,1,1,0,0,0,0,$650.00,
140,male,Northern America,1,1,1,0,0,0,$300.00,Panel Moderator
141,male,Europe,1,0,1,0,0,0,$0.00,Workshop Leader
142,male,Northern America,1,1,0,0,0,0,$515.70,
143,female,Northern America,1,1,0,0,0,0,$300.00,
144,female,Northern America,1,1,1,0,0,0,$300.00,Panelist
145,male,Northern America,0,0,1,0,0,0,$0.00,Panelist
146,Male,Northern America,0,0,1,0,0,0,$0.00,Keynote
147,Male,Northern America,0,0,1,0,0,0,$0.00,Panelist
148,Female,Northern America,0,0,1,0,0,0,$0.00,Keynote
149,female,Northern America,0,0,0,0,1,0,$0.00,
150,female,Northern America,0,0,1,0,1,0,$0.00,Project Presenter
151,male,Europe,0,0,0,0,1,0,$0.00,
152,Female,Europe,0,0,0,0,1,0,$0.00,
153,Male,Northern America,0,0,0,0,1,0,$0.00,
154,Male,Northern America,0,0,0,0,1,0,$0.00,
155,Female,Northern America,0,0,0,0,1,0,$0.00,
156,Male,Northern America,1,0,0,0,1,0,$0.00,
157,Female,Northern America,1,0,0,0,1,0,$0.00,
158,Female,Northern America,1,0,0,0,1,0,$0.00,
159,Male,Northern America,0,0,0,0,1,0,$0.00,
160,female,Northern America,1,0,0,0,0,0,$0.00,
161,female,Northern America,1,0,0,0,0,0,$0.00,
162,male,Northern America,1,0,0,0,0,0,$0.00,
163,female,Northern America,1,0,0,0,0,0,$0.00,
164,female,Northern America,1,0,0,0,0,0,$0.00,
165,male,Asia,1,0,0,0,0,0,$0.00,
166,female,Europe,1,0,1,0,0,0,$0.00,Project Presenter
167,female,Europe,1,0,0,0,0,0,$0.00,
168,female,Northern America,1,0,0,0,0,0,$0.00,
169,female,Northern America,1,0,0,0,0,0,$0.00,
170,female,Northern America,1,0,0,0,0,0,$0.00,
171,female,Asia,1,0,0,0,0,0,$0.00,
172,female,Africa,1,0,1,0,0,0,$0.00,Project Presenter
173,female,Europe,1,0,0,0,0,0,$0.00,
174,male,Northern America,1,0,0,0,0,0,$0.00,
175,female,Northern America,1,0,0,0,0,0,$0.00,
176,female,Northern America,1,0,0,0,0,0,$0.00,
177,male,Northern America,1,0,0,0,0,0,$0.00,
178,male,Northern America,1,0,0,0,0,0,$0.00,
179,female,Northern America,1,0,0,0,0,0,$0.00,
180,male,Northern America,1,0,0,0,0,0,$0.00,
181,female,Northern America,1,0,0,0,0,0,$0.00,
182,male,Northern America,1,0,0,0,0,0,$0.00,
183,male,Northern America,1,0,0,0,0,0,$0.00,
184,female,Northern America,1,0,0,0,0,0,$0.00,
185,female,Northern America,1,0,0,0,0,0,$0.00,
186,male,Northern America,1,0,0,0,0,0,$0.00,
187,female,Northern America,1,0,0,0,0,0,$0.00,
188,female,Northern America,1,0,0,0,0,0,$0.00,
189,female,Northern America,1,0,0,0,0,0,$0.00,
190,male,Northern America,1,0,0,0,0,0,$0.00,
191,male,Northern America,1,0,0,0,0,0,$0.00,
192,male,Northern America,1,0,0,0,0,0,$0.00,
193,female,Northern America,1,0,0,0,0,0,$0.00,
194,male,Northern America,1,0,0,0,0,0,$0.00,
195,female,Northern America,1,0,0,0,0,0,$0.00,
196,female,Northern America,1,0,0,0,0,0,$0.00,
197,male,Northern America,1,0,0,0,0,0,$0.00,
198,male,Northern America,1,0,0,0,0,0,$0.00,
199,female,Northern America,1,0,0,0,0,0,$0.00,
200,female,Northern America,1,0,0,0,0,0,$0.00,
201,female,Northern America,1,0,0,0,0,0,$0.00,
202,male,Northern America,1,0,0,0,0,0,$0.00,
203,male,Northern America,1,0,0,0,0,0,$0.00,
204,female,Northern America,1,0,0,0,0,0,$0.00,
205,female,Northern America,1,0,1,0,0,0,$0.00,"Panelist, Workshop Leader"
206,female,Northern America,0,0,1,1,0,1,$0.00,"Project Presenter, Workshop Leader, Advocacy Day Speaker"
207,male,Northern America,0,0,1,0,0,1,$0.00,"Panel Moderator, Workshop Leader"
208,female,Northern America,0,0,1,1,0,1,$0.00,Workshop Leader
209,male,Northern America,0,0,0,1,0,1,$0.00,
210,male,Europe,0,0,0,1,0,1,$0.00,
211,female,Northern America,0,0,0,0,0,1,$0.00,
212,female,Northern America,0,0,1,0,0,1,$0.00,Advocacy Day Speaker
213,female,Northern America,0,0,0,0,0,1,$0.00,
214,Female,???,0,0,0,0,0,0,$0.00,
215,Female,???,0,0,0,0,0,0,$0.00,
216,Male,Latin America and the Caribbean,0,0,0,0,0,0,$0.00,
217,Male,???,0,0,0,0,0,0,$0.00,
218,Male,???,0,0,0,0,0,0,$0.00,
219,Female,???,0,0,0,0,0,0,$0.00,
220,Male,Africa,0,0,0,1,0,0,$0.00,
221,Male,Latin America and the Caribbean,0,0,0,1,0,0,$0.00,
